 GROUP;NAME;H(AVARAGE);S(AVARAGE);V(AVARAGE);H(MEDIAN);S(MEDIAN);V(MEDIAN);H(MODE);S(MODE);V(MODE) 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).TIF;336;39;65;341;42;66;343;47;65 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).jpg;273;24;81;339;26;82;343;8;82 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).TIF;336;39;66;341;42;67;342;49;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (19).jpg;327;35;78;345;37;80;347;44;80 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).jpg;278;25;71;329;28;71;339;34;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).TIF;329;34;59;337;37;60;338;41;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (20).jpg;292;27;80;342;29;82;343;7;80 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (21).jpg;311;31;71;339;35;73;343;37;73 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (22).jpg;262;23;74;331;24;76;339;3;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (23).jpg;278;23;74;335;24;76;339;3;85 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (24).jpg;304;33;79;343;36;81;343;44;80 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (25).jpg;285;35;78;345;42;79;347;7;78 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (26).jpg;283;21;71;339;23;72;339;26;73 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (27).jpg;275;20;69;334;22;69;339;25;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (28).jpg;274;21;69;339;23;70;339;27;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (29).jpg;300;24;68;339;25;69;339;31;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).jpg;226;20;72;316;18;71;339;6;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).TIF;328;31;59;335;33;60;337;36;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (30).jpg;275;18;66;327;19;67;339;3;65 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (31).jpg;242;23;85;346;25;86;350;9;85 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (32).jpg;270;21;75;339;26;76;343;3;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).jpg;274;22;67;323;23;66;339;7;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).TIF;332;36;58;338;38;59;341;39;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).jpg;242;20;70;317;18;69;339;6;65 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).TIF;334;37;59;340;40;60;343;46;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).jpg;268;21;72;316;22;71;327;6;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).TIF;332;37;59;340;40;60;342;42;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).jpg;277;24;70;320;26;69;334;5;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).TIF;334;40;58;341;44;59;344;50;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).jpg;259;24;61;325;26;61;339;6;56 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).TIF;336;41;59;342;44;61;344;50;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).jpg;262;21;77;330;22;77;339;10;73 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).TIF;330;36;71;339;40;71;340;45;71 
 H&E;H&E-NORMAL  GLOMERULUS    (100).jpg;267;24;76;341;25;76;345;34;75 
 H&E;H&E-NORMAL  GLOMERULUS    (101).jpg;234;21;76;334;21;76;339;10;73 
 H&E;H&E-NORMAL  GLOMERULUS    (102).jpg;225;20;78;333;19;78;339;10;76 
 H&E;H&E-NORMAL  GLOMERULUS    (103).jpg;258;21;76;341;22;76;345;10;73 
 H&E;H&E-NORMAL  GLOMERULUS    (104).jpg;223;18;78;331;17;78;339;9;76 
 H&E;H&E-NORMAL  GLOMERULUS    (105).jpg;251;20;76;339;21;77;345;10;75 
 H&E;H&E-NORMAL  GLOMERULUS    (106).jpg;283;29;69;341;32;70;343;36;69 
 H&E;H&E-NORMAL  GLOMERULUS    (107).jpg;273;27;71;341;30;72;343;34;71 
 H&E;H&E-NORMAL  GLOMERULUS    (108).jpg;268;26;72;337;28;72;339;10;71 
 H&E;H&E-NORMAL  GLOMERULUS    (109).jpg;245;23;75;336;24;76;339;10;73 
 H&E;H&E-NORMAL  GLOMERULUS    (110).jpg;229;20;78;325;19;78;339;9;93 
 H&E;H&E-NORMAL  GLOMERULUS    (111).jpg;285;24;66;331;26;67;339;34;65 
 H&E;H&E-NORMAL  GLOMERULUS    (112).jpg;299;23;65;330;25;66;339;27;65 
 H&E;H&E-NORMAL  GLOMERULUS    (113).jpg;278;19;68;326;20;69;339;8;69 
 H&E;H&E-NORMAL  GLOMERULUS    (114).jpg;277;18;69;325;18;69;339;20;69 
 H&E;H&E-NORMAL  GLOMERULUS    (115).jpg;271;17;70;326;18;71;331;8;69 
 H&E;H&E-NORMAL  GLOMERULUS    (116).jpg;286;19;68;327;20;69;339;19;69 
 H&E;H&E-NORMAL  GLOMERULUS    (117).jpg;292;21;67;330;23;67;339;25;67 
 H&E;H&E-NORMAL  GLOMERULUS    (118).jpg;265;19;68;327;20;68;339;8;67 
 H&E;H&E-NORMAL  GLOMERULUS    (234).jpg;312;30;81;342;31;82;343;38;82 
 H&E;H&E-NORMAL  GLOMERULUS    (235).jpg;295;28;82;341;30;83;343;40;82 
 H&E;H&E-NORMAL  GLOMERULUS    (236).jpg;327;35;86;343;39;87;342;43;87 
 H&E;H&E-NORMAL  GLOMERULUS    (237).jpg;298;28;70;337;31;72;339;34;71 
 H&E;H&E-NORMAL  GLOMERULUS    (238).jpg;314;30;84;343;32;86;343;38;100 
 H&E;H&E-NORMAL  GLOMERULUS    (239).jpg;308;32;83;342;36;85;343;44;84 
 H&E;H&E-NORMAL  GLOMERULUS    (240).jpg;312;33;79;343;35;80;343;44;78 
 H&E;H&E-NORMAL  GLOMERULUS    (241).jpg;309;34;79;343;37;80;343;44;80 
 H&E;H&E-NORMAL  GLOMERULUS    (242).jpg;307;30;79;343;32;81;343;33;82 
 H&E;H&E-NORMAL  GLOMERULUS    (243).jpg;276;26;82;341;28;83;343;10;100 
 H&E;H&E-NORMAL  GLOMERULUS    (244).jpg;309;29;83;343;31;85;343;33;85 
 H&E;H&E-NORMAL  GLOMERULUS    (245).jpg;316;37;86;343;41;88;342;47;100 
 H&E;H&E-NORMAL  GLOMERULUS    (246).jpg;314;31;82;343;34;85;343;38;84 
 H&E;H&E-NORMAL  GLOMERULUS    (247).jpg;301;29;81;343;31;84;343;36;82 
 H&E;H&E-NORMAL  GLOMERULUS    (248).jpg;260;24;70;334;25;73;339;8;84 
 H&E;H&E-NORMAL  GLOMERULUS    (249).jpg;307;31;81;339;34;82;339;38;100 
 H&E;H&E-NORMAL  GLOMERULUS    (250).jpg;275;27;81;335;30;82;339;8;100 
 H&E;H&E-NORMAL  GLOMERULUS    (251).jpg;298;25;70;334;27;71;339;34;69 
 H&E;H&E-NORMAL  GLOMERULUS    (252).jpg;286;29;74;316;35;73;335;2;100 
 H&E;H&E-NORMAL  GLOMERULUS    (253).jpg;318;47;82;345;55;84;349;62;100 
 H&E;H&E-NORMAL  GLOMERULUS    (254).jpg;308;36;71;339;41;71;343;49;69 
 H&E;H&E-NORMAL  GLOMERULUS    (255).jpg;322;43;62;339;49;63;339;52;62 
 H&E;H&E-NORMAL  GLOMERULUS    (256).jpg;324;37;70;334;41;71;339;46;71 
 H&E;H&E-NORMAL  GLOMERULUS    (257).jpg;287;27;79;332;33;79;339;4;100 
 H&E;H&E-NORMAL  GLOMERULUS    (258).jpg;319;36;69;335;41;71;339;46;67 
 H&E;H&E-NORMAL  GLOMERULUS    (259).jpg;331;39;76;345;42;78;347;46;78 
 H&E;H&E-NORMAL  GLOMERULUS    (260).jpg;323;41;62;348;46;63;350;51;62 
 H&E;H&E-NORMAL  GLOMERULUS    (261).jpg;320;35;65;344;40;66;345;46;64 
 H&E;H&E-NORMAL  GLOMERULUS    (262).jpg;305;28;79;329;33;79;335;3;100 
 H&E;H&E-NORMAL  GLOMERULUS    (263).jpg;321;44;64;341;49;65;343;56;65 
 H&E;H&E-NORMAL  GLOMERULUS    (264).jpg;317;34;69;333;39;69;339;6;100 
 H&E;H&E-NORMAL  GLOMERULUS    (265).jpg;274;36;67;339;40;67;343;11;89 
 H&E;H&E-NORMAL  GLOMERULUS    (266).jpg;301;32;75;337;35;76;339;8;100 
 H&E;H&E-NORMAL  GLOMERULUS    (267).jpg;334;41;81;342;43;85;342;50;85 
 H&E;H&E-NORMAL  GLOMERULUS    (268).jpg;329;48;75;337;53;79;342;56;80 
 H&E;H&E-NORMAL  GLOMERULUS    (269).jpg;324;48;66;347;52;68;350;57;67 
 H&E;H&E-NORMAL  GLOMERULUS    (270).jpg;312;43;71;345;47;73;350;16;71 
 H&E;H&E-NORMAL  GLOMERULUS    (271).jpg;322;41;61;335;42;65;339;40;100 
 H&E;H&E-NORMAL  GLOMERULUS    (272).jpg;320;44;59;347;51;61;348;57;60 
 H&E;H&E-NORMAL  GLOMERULUS    (273).jpg;288;56;88;343;60;94;344;67;100 
 H&E;H&E-NORMAL  GLOMERULUS    (274).jpg;277;55;88;342;60;93;344;68;100 
 H&E;H&E-NORMAL  GLOMERULUS    (275).jpg;314;35;53;345;37;56;345;41;58 
 H&E;H&E-NORMAL  GLOMERULUS    (276).jpg;300;30;57;343;33;58;345;39;56 
 H&E;H&E-NORMAL  GLOMERULUS    (277).jpg;295;27;56;336;29;57;339;34;56 
 H&E;H&E-NORMAL  GLOMERULUS    (278).jpg;296;26;67;344;29;68;345;3;65 
 H&E;H&E-NORMAL  GLOMERULUS    (279).jpg;316;59;60;337;61;64;339;62;65 
 H&E;H&E-NORMAL  GLOMERULUS    (280).jpg;311;57;61;336;60;64;339;65;65 
 H&E;H&E-NORMAL  GLOMERULUS    (69).jpg;326;30;77;343;34;78;343;38;78 
 H&E;H&E-NORMAL  GLOMERULUS    (70).jpg;318;28;78;343;31;78;343;36;78 
 H&E;H&E-NORMAL  GLOMERULUS    (71).jpg;331;30;70;345;33;71;346;34;71 
 H&E;H&E-NORMAL  GLOMERULUS    (72).jpg;333;32;69;345;34;70;346;36;71 
 H&E;H&E-NORMAL  GLOMERULUS    (73).jpg;328;30;70;345;33;71;346;36;71 
 H&E;H&E-NORMAL  GLOMERULUS    (74).jpg;330;32;70;346;35;71;346;39;71 
 H&E;H&E-NORMAL  GLOMERULUS    (75).jpg;331;33;69;346;36;71;346;40;71 
 H&E;H&E-NORMAL  GLOMERULUS    (76).jpg;316;29;70;346;32;71;346;34;71 
 H&E;H&E-NORMAL  GLOMERULUS    (77).jpg;328;28;71;346;30;72;345;34;71 
 H&E;H&E-NORMAL  GLOMERULUS    (78).jpg;331;32;72;346;36;73;347;39;73 
 H&E;H&E-NORMAL  GLOMERULUS    (79).jpg;334;34;73;346;38;74;347;40;75 
 H&E;H&E-NORMAL  GLOMERULUS    (80).jpg;307;27;73;343;31;74;343;34;73 
 H&E;H&E-NORMAL  GLOMERULUS    (81).jpg;314;27;74;343;30;75;345;34;75 
 H&E;H&E-NORMAL  GLOMERULUS    (82).jpg;315;28;73;343;31;74;343;34;73 
 H&E;H&E-NORMAL  GLOMERULUS    (83).jpg;331;34;72;344;38;73;343;41;73 
 H&E;H&E-NORMAL  GLOMERULUS    (84).jpg;330;32;74;344;35;75;343;38;75 
 H&E;H&E-NORMAL  GLOMERULUS    (85).jpg;325;31;73;343;35;73;343;39;73 
 H&E;H&E-NORMAL  GLOMERULUS    (86).jpg;331;31;73;343;34;74;343;38;73 
 H&E;H&E-NORMAL  GLOMERULUS    (87).jpg;319;30;73;343;33;74;343;38;73 
 H&E;H&E-NORMAL  GLOMERULUS    (88).jpg;334;32;72;343;34;73;343;37;73 
 H&E;H&E-NORMAL  GLOMERULUS    (89).jpg;331;32;73;343;35;73;343;38;73 
 H&E;H&E-NORMAL  GLOMERULUS    (90).jpg;321;26;80;339;28;82;339;31;82 
 H&E;H&E-NORMAL  GLOMERULUS    (91).jpg;309;25;80;339;28;80;339;32;80 
 H&E;H&E-NORMAL  GLOMERULUS    (92).jpg;329;30;74;342;34;75;343;37;76 
 H&E;H&E-NORMAL  GLOMERULUS    (93).jpg;331;29;76;343;32;77;343;34;78 
 H&E;H&E-NORMAL  GLOMERULUS    (94).jpg;319;28;75;341;31;76;343;34;76 
 H&E;H&E-NORMAL  GLOMERULUS    (95).jpg;321;28;75;341;32;76;343;34;76 
 H&E;H&E-NORMAL  GLOMERULUS    (96).jpg;327;29;75;341;32;76;343;34;76 
 H&E;H&E-NORMAL  GLOMERULUS    (97).jpg;315;27;76;341;30;76;343;32;76 
 H&E;H&E-NORMAL  GLOMERULUS    (98).jpg;329;29;75;341;32;76;343;34;76 
 H&E;H&E-NORMAL  GLOMERULUS    (99).jpg;334;30;75;341;32;76;343;34;76 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (1).jpg;292;28;65;318;30;64;334;34;64 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (2).jpg;299;31;63;323;35;61;331;39;60 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (3).jpg;296;28;66;322;32;64;331;36;62 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (1).jpg;75;23;76;29;21;89;26;21;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (10).jpg;202;19;50;223;15;43;239;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (11).jpg;200;17;51;224;13;44;239;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (12).jpg;191;12;65;227;7;69;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (13).jpg;204;18;58;249;17;49;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (14).jpg;207;17;60;236;16;55;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (15).jpg;226;19;54;233;16;47;180;2;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (16).jpg;151;14;66;198;7;79;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (17).jpg;164;15;61;212;7;69;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (18).jpg;142;13;64;86;9;75;69;6;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (19).jpg;166;12;49;211;6;55;239;3;11 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (2).jpg;72;19;83;28;18;96;23;18;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (20).jpg;162;14;51;191;8;58;100;1;78 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (21).jpg;209;11;65;223;6;73;180;4;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (22).jpg;171;13;61;165;6;76;140;3;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (23).jpg;180;11;61;197;4;75;239;3;84 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (24).jpg;188;13;44;239;9;41;60;3;15 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (25).jpg;184;10;61;205;5;69;160;2;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (26).jpg;111;19;60;49;15;76;43;13;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (27).jpg;154;13;72;180;7;90;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (28).jpg;168;16;68;201;9;84;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (29).jpg;152;19;69;180;11;88;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (3).jpg;84;20;72;28;20;84;26;20;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (30).jpg;143;24;70;165;12;93;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (31).jpg;165;19;58;209;12;67;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (32).jpg;175;19;55;217;13;59;0;5;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (33).jpg;122;18;53;40;13;63;30;11;78 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (34).jpg;140;19;48;80;14;50;30;10;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (35).jpg;129;23;50;60;15;58;30;9;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (36).jpg;168;18;57;209;12;63;60;6;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (37).jpg;144;14;66;85;9;80;51;6;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (38).jpg;176;14;59;210;9;69;103;3;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (39).jpg;166;16;52;211;12;58;0;8;84 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (4).jpg;90;24;71;30;20;86;26;20;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (40).jpg;157;14;69;165;9;82;60;2;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (41).jpg;144;12;75;92;7;93;60;2;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (42).jpg;139;16;61;85;10;75;42;6;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (43).jpg;152;16;65;113;9;81;60;6;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (44).jpg;175;20;61;213;14;65;44;7;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (45).jpg;146;23;71;107;14;85;60;9;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (46).jpg;161;15;74;147;8;89;60;3;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (47).jpg;121;18;66;60;9;85;33;6;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (48).jpg;121;17;65;52;8;84;33;6;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (49).jpg;118;17;68;53;8;85;33;6;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (5).jpg;91;25;69;30;21;86;26;20;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (50).jpg;139;11;80;70;7;92;60;6;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (51).jpg;143;15;76;64;9;92;0;6;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (52).jpg;125;15;75;52;9;94;30;9;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (53).jpg;141;18;76;67;10;95;60;7;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (54).jpg;99;15;76;32;13;88;29;11;95 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (55).jpg;124;19;72;42;13;87;33;11;96 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (56).jpg;118;23;62;31;15;80;16;12;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (57).jpg;120;23;66;34;15;85;29;12;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (58).jpg;169;21;57;180;17;58;339;12;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (59).jpg;133;18;64;30;14;76;16;12;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (6).jpg;117;37;52;30;35;49;30;35;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (60).jpg;179;21;55;239;18;58;0;14;69 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (61).jpg;131;22;66;44;15;78;10;9;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (62).jpg;124;16;80;44;12;92;19;11;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (63).jpg;111;15;82;34;11;93;19;10;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (64).jpg;104;19;65;29;14;74;19;11;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (65).jpg;105;17;70;29;13;79;16;11;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (66).jpg;137;20;63;43;15;71;19;13;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (67).jpg;130;26;51;52;19;55;26;14;7 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (68).jpg;120;22;55;41;18;65;26;17;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (69).jpg;109;23;58;33;18;73;20;17;82 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (7).jpg;115;20;67;35;17;80;26;16;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (70).jpg;121;22;54;39;18;64;26;17;9 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (71).jpg;123;23;55;43;18;66;20;17;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (72).jpg;141;21;60;39;19;65;20;17;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (73).jpg;142;21;59;39;19;65;20;17;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (74).jpg;153;23;54;48;20;57;23;17;13 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (75).jpg;150;25;54;45;21;58;20;16;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (76).jpg;97;20;72;26;19;77;20;18;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (77).jpg;92;21;76;27;19;82;20;18;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (78).jpg;106;24;62;34;18;79;22;17;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (79).jpg;130;20;70;33;18;75;20;17;95 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (8).jpg;193;18;62;234;9;72;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (80).jpg;159;24;53;86;20;56;23;17;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (81).jpg;91;21;69;25;18;83;20;17;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (82).jpg;122;20;72;39;15;86;26;13;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (83).jpg;137;23;64;41;17;74;26;13;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (84).jpg;115;30;59;39;21;71;20;17;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (85).jpg;118;23;60;34;19;72;22;17;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (86).jpg;117;28;56;39;20;65;22;17;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (87).jpg;135;20;61;39;19;65;33;17;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (88).jpg;106;20;72;31;19;85;28;18;95 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (89).jpg;93;22;69;28;20;80;26;19;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (9).jpg;158;16;58;46;13;60;19;10;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (90).jpg;128;22;56;35;20;62;28;18;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (91).jpg;158;31;35;221;25;22;239;18;5 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (92).jpg;149;29;39;150;23;32;239;18;5 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (93).jpg;84;20;77;33;18;94;33;17;98 
 PAMS;PAMS-MEMBRANOUS  (1).jpg;190;7;56;165;4;62;100;3;69 
 PAMS;PAMS-MEMBRANOUS  (2).jpg;107;8;70;64;7;74;60;7;80 
 PAMS;PAMS-MEMBRANOUS  (23).jpg;194;18;62;202;11;68;147;9;100 
